ifc_guid,manifest_url
2X26Rf5nvF1PIIetmVgnaJ,https://domenicoandreucci.github.io/hbim-tachara/manifests/2X26Rf5nvF1PIIetmVgnaJ.json
1FPOZJO1T4uuoO8s35eseR,https://domenicoandreucci.github.io/hbim-tachara/manifests/1FPOZJO1T4uuoO8s35eseR.json
04ova_VXP0RA4eI_unIUvX,https://domenicoandreucci.github.io/hbim-tachara/manifests/04ova_VXP0RA4eI_unIUvX.json
0dAO_HMBD7MRhlLOJli6NW,https://domenicoandreucci.github.io/hbim-tachara/manifests/0dAO_HMBD7MRhlLOJli6NW.json
1K8Wr9q6vy_Vp77mb5o7NU,https://domenicoandreucci.github.io/hbim-tachara/manifests/1K8Wr9q6vy_Vp77mb5o7NU.json
3U19j8CWM_lssESGLXCwd2,https://domenicoandreucci.github.io/hbim-tachara/manifests/3U19j8CWM_lssESGLXCwd2.json
0ujsIyHT7gMxrFSpNXgf4Y,https://domenicoandreucci.github.io/hbim-tachara/manifests/0ujsIyHT7gMxrFSpNXgf4Y.json
38QDifEjz0d8sb$aaCo8uY,https://domenicoandreucci.github.io/hbim-tachara/manifests/38QDifEjz0d8sb$aaCo8uY.json
0bErDUbhLFwuZ3Q_$rXsaB,https://domenicoandreucci.github.io/hbim-tachara/manifests/0bErDUbhLFwuZ3Q_$rXsaB.json
1lfRlE9oL9wO76tbXU$ZH4,https://domenicoandreucci.github.io/hbim-tachara/manifests/1lfRlE9oL9wO76tbXU$ZH4.json
1dUD0P7KH528ZIh7sI1JeH,https://domenicoandreucci.github.io/hbim-tachara/manifests/1dUD0P7KH528ZIh7sI1JeH.json
2UeXXKEJUXRomhBJWMiY_5,https://domenicoandreucci.github.io/hbim-tachara/manifests/2UeXXKEJUXRomhBJWMiY_5.json
0lR8yVRswGGSOgd3qxfkDg,https://domenicoandreucci.github.io/hbim-tachara/manifests/0lR8yVRswGGSOgd3qxfkDg.json
3aWLNxQxbAWUJ9Nkdc8Ru6,https://domenicoandreucci.github.io/hbim-tachara/manifests/3aWLNxQxbAWUJ9Nkdc8Ru6.json
3OCuelQyPDjO0uIdXfOXez,https://domenicoandreucci.github.io/hbim-tachara/manifests/3OCuelQyPDjO0uIdXfOXez.json
0fYOqxEATCp87wwgifXzHw,https://domenicoandreucci.github.io/hbim-tachara/manifests/0fYOqxEATCp87wwgifXzHw.json
2xHuD8HeT5mvvt0yylri3$,https://domenicoandreucci.github.io/hbim-tachara/manifests/2xHuD8HeT5mvvt0yylri3$.json
1TCwDJEbjFqfwEpNFjWZFB,https://domenicoandreucci.github.io/hbim-tachara/manifests/1TCwDJEbjFqfwEpNFjWZFB.json
0caefuQcr6wwCYRKrsnrrt,https://domenicoandreucci.github.io/hbim-tachara/manifests/0caefuQcr6wwCYRKrsnrrt.json
21cWGuAygd_n4IR4644ie5,https://domenicoandreucci.github.io/hbim-tachara/manifests/21cWGuAygd_n4IR4644ie5.json
1QwBkSUbdT2jJGnt319T6m,https://domenicoandreucci.github.io/hbim-tachara/manifests/1QwBkSUbdT2jJGnt319T6m.json
2nrZyK_ZQL2A8Jme8mqpjJ,https://domenicoandreucci.github.io/hbim-tachara/manifests/2nrZyK_ZQL2A8Jme8mqpjJ.json
0_ihiJ16nAAvZK1MXtIlXY,https://domenicoandreucci.github.io/hbim-tachara/manifests/0_ihiJ16nAAvZK1MXtIlXY.json
3cHzHXmbT9CQ1jevnDOT7r,https://domenicoandreucci.github.io/hbim-tachara/manifests/3cHzHXmbT9CQ1jevnDOT7r.json
2z0m$Z7HTAjA7IcaqaoRo9,https://domenicoandreucci.github.io/hbim-tachara/manifests/2z0m$Z7HTAjA7IcaqaoRo9.json
1piLoz6TT_oAN4dFGW3yJW,https://domenicoandreucci.github.io/hbim-tachara/manifests/1piLoz6TT_oAN4dFGW3yJW.json
1vRlSMtYegC6z$5KW6Oq6K,https://domenicoandreucci.github.io/hbim-tachara/manifests/1vRlSMtYegC6z$5KW6Oq6K.json
2v2lx$Hmb_Cw9IkJHFDb6a,https://domenicoandreucci.github.io/hbim-tachara/manifests/2v2lx$Hmb_Cw9IkJHFDb6a.json
2dtRycMLLd0IA$3_LxCmwn,https://domenicoandreucci.github.io/hbim-tachara/manifests/2dtRycMLLd0IA$3_LxCmwn.json
3dEzGyITYkvzqOPWuxsOAP,https://domenicoandreucci.github.io/hbim-tachara/manifests/3dEzGyITYkvzqOPWuxsOAP.json
0YTd1WSL1CtQdjIuyKDpiU,https://domenicoandreucci.github.io/hbim-tachara/manifests/0YTd1WSL1CtQdjIuyKDpiU.json
0yxQgeHhz9DeP9ehmF5guL,https://domenicoandreucci.github.io/hbim-tachara/manifests/0yxQgeHhz9DeP9ehmF5guL.json
1hRTObdBPCkvW0323uVW2B,https://domenicoandreucci.github.io/hbim-tachara/manifests/1hRTObdBPCkvW0323uVW2B.json
1vqC78jL59BwBW3HHohMyZ,https://domenicoandreucci.github.io/hbim-tachara/manifests/1vqC78jL59BwBW3HHohMyZ.json
3OWgCEsdz19gD2Wh6Yr$eg,https://domenicoandreucci.github.io/hbim-tachara/manifests/3OWgCEsdz19gD2Wh6Yr$eg.json
12Qp_4etgJC5vm3jnyY_MI,https://domenicoandreucci.github.io/hbim-tachara/manifests/12Qp_4etgJC5vm3jnyY_MI.json
2UKibexi2qvLQsIloDx6bM,https://domenicoandreucci.github.io/hbim-tachara/manifests/2UKibexi2qvLQsIloDx6bM.json
2UbUnNCQSZG2DipoeaDkvl,https://domenicoandreucci.github.io/hbim-tachara/manifests/2UbUnNCQSZG2DipoeaDkvl.json
1Id_pk_QQFiDzqw5zxczTl,https://domenicoandreucci.github.io/hbim-tachara/manifests/1Id_pk_QQFiDzqw5zxczTl.json
1tk352VTU5CRHs2bClkjId,https://domenicoandreucci.github.io/hbim-tachara/manifests/1tk352VTU5CRHs2bClkjId.json
0pCiS4nUT9xPvvI8xEjkdi,https://domenicoandreucci.github.io/hbim-tachara/manifests/0pCiS4nUT9xPvvI8xEjkdi.json
1uJDZRvEn1yf1AUB1TyMLP,https://domenicoandreucci.github.io/hbim-tachara/manifests/1uJDZRvEn1yf1AUB1TyMLP.json
0PMfR00Nn5QPvtuRlRTDvZ,https://domenicoandreucci.github.io/hbim-tachara/manifests/0PMfR00Nn5QPvtuRlRTDvZ.json
28bUwV09TEPxTsAjz_1GHW,https://domenicoandreucci.github.io/hbim-tachara/manifests/28bUwV09TEPxTsAjz_1GHW.json
3P0JxTBILABR6Mz$0K41_q,https://domenicoandreucci.github.io/hbim-tachara/manifests/3P0JxTBILABR6Mz$0K41_q.json
